Category,Course Type,District,Region,Local Course,AP/IB/PLTW/DCE/OLL,Standard,Course Level,College Relationship(s),Fullfills Grad Req
A - Computer Literacy,10001 - Introduction to Computers,CROOKSTON PUBLIC SCHOOL DISTRICT 0593-01,1,090COMP 8 COMPUTER 8 FCAT,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,DASSEL-COKATO PUBLIC SCHOOL DIST. 0466-01,07W,016000 01 Tech,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,DASSEL-COKATO PUBLIC SCHOOL DIST. 0466-01,07W,026000 02 Tech,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,DASSEL-COKATO PUBLIC SCHOOL DIST. 0466-01,07W,036000 03 Tech,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,DASSEL-COKATO PUBLIC SCHOOL DIST. 0466-01,07W,046000 04 Tech,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,DAWSON-BOYD PUBLIC SCHOOL DISTRICT 0378-01,06W,525 ALC COMPUTER,N/A,NONE_ADDRESSED,BASIC,,No
A - Computer Literacy,10001 - Introduction to Computers,DEER RIVER PUBLIC SCHOOL DISTRICT 0317-01,3,500A Technology,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,DOVER-EYOTA PUBLIC SCHOOL DISTRICT 0533-01,10,095 Computer Apps,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,DOVER-EYOTA PUBLIC SCHOOL DISTRICT 0533-01,10,098 Computer Apps II,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EASTERN CARVER COUNTY PUBLIC SCHOOL 0112-01,11,1S4 Media and Technology,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EASTERN CARVER COUNTY PUBLIC SCHOOL 0112-01,11,25814 Intro to Computer Science,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EASTERN CARVER COUNTY PUBLIC SCHOOL 0112-01,11,2S4 Media and Technology,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EASTERN CARVER COUNTY PUBLIC SCHOOL 0112-01,11,3S4 Media and Technology,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EASTERN CARVER COUNTY PUBLIC SCHOOL 0112-01,11,4S4 Media and Technology,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EASTERN CARVER COUNTY PUBLIC SCHOOL 0112-01,11,5S4 Media and Technology,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EASTERN CARVER COUNTY PUBLIC SCHOOL 0112-01,11,KS4 Media and Technology,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EDEN VALLEY-WATKINS SCHOOL DISTRICT 0463-01,06E,Comp1 Computer1,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EDEN VALLEY-WATKINS SCHOOL DISTRICT 0463-01,06E,Comp2 Computer2,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EDEN VALLEY-WATKINS SCHOOL DISTRICT 0463-01,06E,Comp3 Computer3,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EDEN VALLEY-WATKINS SCHOOL DISTRICT 0463-01,06E,Comp4 Computer4,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EDEN VALLEY-WATKINS SCHOOL DISTRICT 0463-01,06E,Comp5 Computer5,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EDEN VALLEY-WATKINS SCHOOL DISTRICT 0463-01,06E,Comp6 Computer6,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,EVELETH-GILBERT SCHOOL DISTRICT 2154-01,3,207J7 Computer Skills,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,FAIRMONT AREA SCHOOL DISTRICT 2752-01,9,060BUS101 TECHNOLOGY 7,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,FAIRMONT AREA SCHOOL DISTRICT 2752-01,9,060BUS320 COMPUTER APPLICATIONS & CAREER,N/A,LOCAL,GENERAL,,Yes
A - Computer Literacy,10001 - Introduction to Computers,FERGUS FALLS PUBLIC SCHOOL DISTRICT 0544-01,4,IQ0806 Computer Fundamentals A,OLL,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,FERGUS FALLS PUBLIC SCHOOL DISTRICT 0544-01,4,IQ0807 Computer Fundamentals B,OLL,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,FERTILE-BELTRAMI SCHOOL DISTRICT 0599-01,1,1357 Computer Concepts/Career Ed,N/A,LOCAL,GENERAL,,Yes
A - Computer Literacy,10001 - Introduction to Computers,Freshwater Education District 6004-61,5,MALCIS269 Computer Tech - 10001,N/A,STATE,GENERAL,,Yes
A - Computer Literacy,10001 - Introduction to Computers,GOODRIDGE PUBLIC SCHOOL DISTRICT 0561-01,1,1438 Computers 8,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,GOODRIDGE PUBLIC SCHOOL DISTRICT 0561-01,1,1439 Computers 7,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,GOODRIDGE PUBLIC SCHOOL DISTRICT 0561-01,1,1552 Computers 8,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,GRAND RAPIDS PUBLIC SCHOOL DISTRICT 0318-01,3,7011 Computer 7,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,GREENWAY PUBLIC SCHOOL DISTRICT 0316-01,3,10001.1 COMPUTER 7,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,GREENWAY PUBLIC SCHOOL DISTRICT 0316-01,3,10001.2 COMPUTER 8,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,GRYGLA PUBLIC SCHOOL DISTRICT 0447-01,1,6005 Computer 7,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,HENNING PUBLIC SCHOOL DISTRICT 0545-01,4,002 Comp9/$Matters,N/A,STATE,GENERAL,,Yes
A - Computer Literacy,10001 - Introduction to Computers,HIAWATHA ACADEMIES 4170-07,11,10001-78 Intro to Computers Grades 7&8,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,HOLDINGFORD PUBLIC SCHOOL DISTRICT 0738-01,07W,020COMP7 COMPUTER SKILLS 7,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,HOLDINGFORD PUBLIC SCHOOL DISTRICT 0738-01,07W,020COMP8 COMPUTER SKILLS 8,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,INTERNATIONAL FALLS SCHOOL DISTRICT 0361-01,3,00100045 8th Computer Skills,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,INVER GROVE HEIGHTS SCHOOLS 0199-01,11,EC41319F Introduction to Computers,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,Intermediate School District 287 0287-06,11,22011 Computer QA,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,Intermediate School District 287 0287-06,11,22012 Computer QB,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,Intermediate School District 287 0287-06,11,22023 Computer QC,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,Intermediate School District 287 0287-06,11,22024 Computer QD,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,KINGSLAND PUBLIC SCHOOL DISTRICT 2137-01,10,0510 KG Media Erichsen,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,KINGSLAND PUBLIC SCHOOL DISTRICT 2137-01,10,0520 KG Media Noble,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,KINGSLAND PUBLIC SCHOOL DISTRICT 2137-01,10,1510 GR1 Media Holmen,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,KINGSLAND PUBLIC SCHOOL DISTRICT 2137-01,10,1520 GR1 Media Opseth,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,KITTSON CENTRAL SCHOOL DISTRICT 2171-01,1,CompKA Computer K,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,LAKE PARK AUDUBON SCHOOL DISTRICT 2889-01,4,9527 Intro To Computer Applications,N/A,COMBINATION,GENERAL,,Yes
A - Computer Literacy,10001 - Introduction to Computers,LAKEVIEW SCHOOL DISTRICT 2167-01,8,707 7th Technology,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,LAKEVIEW SCHOOL DISTRICT 2167-01,8,809 8th Technology,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,LANCASTER PUBLIC SCHOOL DISTRICT 0356-01,1,4800 COMPUTER I,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,LESTER PRAIRIE PUBLIC SCHOOL DIST. 0424-01,06E,702A Introduction to Computers,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,MARSHALL PUBLIC SCHOOL DISTRICT 0413-01,8,122 Beginning Computer Skills,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,MINNESOTA TRANSITIONS CHARTER SCH 4017-07,11,11497007 TrComputerTechnology,N/A,STATE,GENERAL,,Yes
A - Computer Literacy,10001 - Introduction to Computers,MINNESOTA TRANSITIONS CHARTER SCH 4017-07,11,11861671 Intro to Computer Applications,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,MINNESOTA TRANSITIONS CHARTER SCH 4017-07,11,11863776 Intr Comp & Info Tech,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,MORA PUBLIC SCHOOL DISTRICT 0332-01,07E,K0503 Computer Grade K,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,NASHWAUK-KEEWATIN SCHOOL DISTRICT 0319-01,3,10001.1 Computers 9,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,NEVIS PUBLIC SCHOOL DISTRICT 0308-01,2,9051 ITEC 1430 Intro to Comp ATCC 3 cr,DCE /OLL,COMBINATION,DUAL,ALEXANDRIA TECHNICAL COLLEGE,No
A - Computer Literacy,10001 - Introduction to Computers,NORTH BRANCH PUBLIC SCHOOLS 0138-01,07E,D9513 Fundamentals of Computer Systems,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,NORTH BRANCH PUBLIC SCHOOLS 0138-01,07E,D9513A Comp Info Sys A,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,NORTH BRANCH PUBLIC SCHOOLS 0138-01,07E,D9513B Comp Info Sys B,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,PARKERS PRAIRIE PUBLIC SCHOOL DIST. 0547-01,4,112 ITEC 1430,DCE /OLL,COMBINATION,DUAL,ALEXANDRIA TECHNICAL COLLEGE,No
A - Computer Literacy,10001 - Introduction to Computers,PILLAGER PUBLIC SCHOOL DISTRICT 0116-01,5,029 Intro Coding 5/6,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,PILLAGER PUBLIC SCHOOL DISTRICT 0116-01,5,100 INTRO TO COMPUTER I,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,PRINCETON PUBLIC SCHOOL DISTRICT 0477-01,07E,10070374 POA Career Exploration 2 Tech,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,PRINCETON PUBLIC SCHOOL DISTRICT 0477-01,07E,70070374 POA Career Exploration 2 Tech,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,RED LAKE COUNTY CENTRAL PUBLIC SCH 2906-01,1,002508 Computer 9,N/A,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10001 - Introduction to Computers,RED LAKE COUNTY CENTRAL PUBLIC SCH 2906-01,1,006078 Intro to Computers Online,DCE /OLL,NONE_ADDRESSED,DUAL,ALEXANDRIA TECHNICAL COLLEGE,No
A - Computer Literacy,10001 - Introduction to Computers,RED LAKE FALLS PUBLIC SCHOOL DIST. 0630-01,1,104 Computer 7A,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,RED LAKE FALLS PUBLIC SCHOOL DIST. 0630-01,1,105 Computer 7B,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,RED LAKE FALLS PUBLIC SCHOOL DIST. 0630-01,1,107 Computer 8,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,ROBBINSDALE PUBLIC SCHOOL DISTRICT 0281-01,11,9041 Applications of Computers,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,ROSEMOUNT-APPLE VALLEY-EAGAN 0196-01,11,0616 INTRODUCTION TO COMPUTERS,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,ROSEMOUNT-APPLE VALLEY-EAGAN 0196-01,11,0616IS IS INTRODUCTION TO COMPUTERS,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,ROSEVILLE PUBLIC SCHOOL DISTRICT 0623-01,11,6030 Computer Fundamentals,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SEVEN HILLS PREPARATORY ACADEMY 4159-07,11,100TECH 1st Grade Technology,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SEVEN HILLS PREPARATORY ACADEMY 4159-07,11,10TECH Kindergarten Technology,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SEVEN HILLS PREPARATORY ACADEMY 4159-07,11,200 Technolog 2nd Gr Technology,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SEVEN HILLS PREPARATORY ACADEMY 4159-07,11,300TECHNOLOGY 3rd Grade Technology,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SEVEN HILLS PREPARATORY ACADEMY 4159-07,11,400LATIN 4th Grade Latin,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SEVEN HILLS PREPARATORY ACADEMY 4159-07,11,400Technology 4th Grade Technology,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SEVEN HILLS PREPARATORY ACADEMY 4159-07,11,500TECH 5th Grade Technology,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SOUTHLAND PUBLIC SCHOOL DISTRICT 0500-01,10,151 1st Tech - CS,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SOUTHLAND PUBLIC SCHOOL DISTRICT 0500-01,10,52 2nd Tech-JK,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SOUTHLAND PUBLIC SCHOOL DISTRICT 0500-01,10,58 KG Tech - KK,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SOUTHLAND PUBLIC SCHOOL DISTRICT 0500-01,10,65 1st Tech - MH,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SOUTHLAND PUBLIC SCHOOL DISTRICT 0500-01,10,91 3rd Tech - PA,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,SPECTRUM HIGH SCHOOL 4160-07,07W,5856 Qtr Tech 6,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,ST. JAMES PUBLIC SCHOOL DISTRICT 0840-01,9,130 Media,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,ST. JAMES PUBLIC SCHOOL DISTRICT 0840-01,9,230 Media,N/A,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10001 - Introduction to Computers,ST. JAMES PUBLIC SCHOOL DISTRICT 0840-01,9,430 Media,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,ST. JAMES PUBLIC SCHOOL DISTRICT 0840-01,9,530 Media,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,ST. JAMES PUBLIC SCHOOL DISTRICT 0840-01,9,730 Media-K,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,ST. PAUL PUBLIC SCHOOL DISTRICT 0625-01,11,T409101 AOIT Principles of IT,N/A,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10001 - Introduction to Computers,ST. PAUL PUBLIC SCHOOL DISTRICT 0625-01,11,T409103 AOIT Principles of IT,N/A,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10001 - Introduction to Computers,STEPHEN-ARGYLE CENTRAL SCHOOLS 2856-01,1,299 ITEC 1430,DCE /OLL,COMBINATION,DUAL,ALEXANDRIA TECHNICAL COLLEGE,Yes
A - Computer Literacy,10001 - Introduction to Computers,STILLWATER AREA PUBLIC SCHOOL DIST. 0834-01,11,047I909 AP COMP SCI PRINCIPLES B,N/A,STATE,ADVANCED,,No
A - Computer Literacy,10001 - Introduction to Computers,VENTURE ACADEMY 4218-07,11,1117 Intro to Computer Science,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,WARREN-ALVARADO-OSLO SCHOOL DIST. 2176-01,1,048 Computers 7/8,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,WARREN-ALVARADO-OSLO SCHOOL DIST. 2176-01,1,127 GR4 Computer Projects A,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,WARREN-ALVARADO-OSLO SCHOOL DIST. 2176-01,1,134 GR6 Computers Wall,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,WARREN-ALVARADO-OSLO SCHOOL DIST. 2176-01,1,136 GR6 Computers Desrosier,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,WARREN-ALVARADO-OSLO SCHOOL DIST. 2176-01,1,142 GR4 Computer Projects B,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,WARREN-ALVARADO-OSLO SCHOOL DIST. 2176-01,1,157 GR5 Computer Projects A,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,WARREN-ALVARADO-OSLO SCHOOL DIST. 2176-01,1,172 GR5 Computer Projects B,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,WORTHINGTON PUBLIC SCHOOL DISTRICT 0518-01,8,2004 INTRO COMPUTER APPLICATIONS,N/A,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10001 - Introduction to Computers,WORTHINGTON PUBLIC SCHOOL DISTRICT 0518-01,8,2005 INTRO COMPUT APPL SK,N/A,NONE_ADDRESSED,GENERAL,,Yes
A - Computer Literacy,10001 - Introduction to Computers,WORTHINGTON PUBLIC SCHOOL DISTRICT 0518-01,8,2006 KEYBOARDING BASICS SK,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,WORTHINGTON PUBLIC SCHOOL DISTRICT 0518-01,8,2007SS KEYBOARDING,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,WORTHINGTON PUBLIC SCHOOL DISTRICT 0518-01,8,515 COMPUTER 5,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,WORTHINGTON PUBLIC SCHOOL DISTRICT 0518-01,8,906 COMPUTERS,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,Watertown-Mayer Public School Dist 0111-01,11,8001 Technology/Media,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,Watertown-Mayer Public School Dist 0111-01,11,8101 Technology/Media,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,West St. Paul-Mendota Heights-Eagan 0197-01,11,0453 Intro to Computer Programming,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,West St. Paul-Mendota Heights-Eagan 0197-01,11,0454 Intro to Computer Programming,N/A,NATIONAL,GENERAL,,No
A - Computer Literacy,10002 - Computing Systems,A.C.G.C. PUBLIC SCHOOL DISTRICT 2396-01,06E,226 Coding II,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10002 - Computing Systems,ALDEN-CONGER PUBLIC SCHOOL DISTRICT 0242-01,10,182 Comp Tech 7,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10002 - Computing Systems,BAGLEY PUBLIC SCHOOL DISTRICT 0162-01,2,2848 Robotics-1,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10002 - Computing Systems,BAGLEY PUBLIC SCHOOL DISTRICT 0162-01,2,2849 Robotics-2,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10002 - Computing Systems,BAGLEY PUBLIC SCHOOL DISTRICT 0162-01,2,3971 IS - Robotics S1,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10002 - Computing Systems,BAGLEY PUBLIC SCHOOL DISTRICT 0162-01,2,3972 IS - Robotics S2,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10002 - Computing Systems,CLEARBROOK-GONVICK SCHOOL DISTRICT 2311-01,2,9522S OCHS-CAD 3-D,DCE /OLL,STATE,DUAL,ALEXANDRIA TECHNICAL COLLEGE,No
A - Computer Literacy,10002 - Computing Systems,GOODHUE PUBLIC SCHOOL DISTRICT 0253-01,10,149 Tech. Explor.,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10002 - Computing Systems,Intermediate School District 287 0287-06,11,21811 Intro Technology Integration QA,N/A,STATE,GENERAL,,No
A - Computer Literacy,10002 - Computing Systems,MAHTOMEDI PUBLIC SCHOOL DISTRICT 0832-01,11,9068 Computer Hardware/Software & Game Design A,DCE,COMBINATION,DUAL,Northeast Metro Int District 916,No
A - Computer Literacy,10002 - Computing Systems,MAHTOMEDI PUBLIC SCHOOL DISTRICT 0832-01,11,9069 Computer Hardware/Software & Game Design B,DCE,COMBINATION,DUAL,Northeast Metro Int District 916,No
